FALLBACK: Unknown VHS.|Good taste.
12-MONKEYS: 12 Monkeys.|Terry Gilliam. Classic.
1990-THE-BRONX-WARRIORS: 1990 The Bronx Warriors.|Cult classic right there.
1990-THE-BRONX-WARRIORS-FRED-WILLIAMSON: 1990 The Bronx Warriors Fred Williamson.|Fred Williamson version. Even better.
1990-THE-BRONX-WARRIORS-VERSION2: 1990 The Bronx Warriors Version2.|Got both covers for this one.
357-MAGNUM: 357 Magnum.|Don't know that one. Cover looks mean though.
4-ROBBERS: 4 Robbers.|Four of em. Sounds about right.
A-CRY-IN-THE-WILDERNESS: A Cry In The Wilderness.|Never heard of it.
A-FIGHT-FOR-HONOR: A Fight For Honor.|Good title at least.
A-FISTFUL-OF-DOLLARS: A Fistful Of Dollars.|Sergio Leone. You got taste.
A-GATHERING-OF-HEROES: A Gathering Of Heroes.|Heroes gathering. That tracks.
A-GOLDEN-BOOK-STEP-AHEAD-VIDEO-KNOW-THE-ALPHABET: A Golden Book Step Ahead Video Know The Alphabet.|...sure.
A-MAN-CALLED-SARGE: A Man Called Sarge.|Sarge. Classic war movie stuff.
A-MAN-CALLED-TIGER: A Man Called Tiger.|Tiger. Man. Good combination.
A-SHOCK-TO-THE-SYSTEM: A Shock To The System.|Michael Caine does it again.
A-STRANGER-IN-TIME: A Stranger In Time.|Pretty obscure.
A-THIEF-IN-THE-NIGHT: A Thief In The Night.|Christian horror. Very niche.
A-TOWN-CALLED-HELL: A Town Called Hell.|Robert Shaw, Telly Savalas. Underrated.
A-WALT-DISNEY-CHRISTMAS: A Walt Disney Christmas.|Classic.
A-WALTZ-THROUGH-THE-HILLS-WONDERWORKS-FAMILY-MOVIE-TINA-KEMP-ANDRE-JANSEN: A Waltz Through The Hills Wonderworks Family Movie Tina Kemp Andre Jansen.|That's a long title.
AAAHHH-REAL-MONSTERS-MEET-THE-MONSTERS: Aaahhh Real Monsters Meet The Monsters.|Kids love this one.
AAAHHH-REAL-MONSTERS-MONSTERS-NIGHT-OUT: Aaahhh Real Monsters Monsters Night Out.|Halloween staple for the little ones.
ABOUT-FACE-TALKING-TEEN-TO-TEEN-ABOUT-ACNE: About Face Talking Teen To Teen About Acne.|I don't know what to say to that.
ABRAXAS: Abraxas.|Jesse Ventura before he was governor.
ABRAXAS-JESSE-VENTURA: Abraxas Jesse Ventura.|Same movie, different cover.
ACTION-FORCE: Action Force.|GI Joe under a different name. Still fun.
ADVENTURES-FROM-THE-BOOK-OF-VIRTUES-KING-ALFRED-AND-THE-CAKES: Adventures From The Book Of Virtues King Alfred And The Cakes.|It's for kids.
ADVENTURES-OF-RONALD-MCDONALD-MCTREASURE-ISLAND: Adventures Of Ronald Mcdonald Mctreasure Island.|Ronald McDonald on a treasure island. Sure.
ADVENTURES-OF-SONIC-THE-HEDGEHOG-GROUNDER-THE-GENIUS: Adventures Of Sonic The Hedgehog Grounder The Genius.|Kids go nuts for this.
ADVENTURES-OF-SONIC-THE-HEDGEHOG-ROBOTNIK-EXPRESS: Adventures Of Sonic The Hedgehog Robotnik Express.|Same deal. Fast hedgehog.
AIRPORT-77: Airport 77.|Disaster movie. Decent cast.
ALADDIN-AND-HIS-MAGIC-LAMP: Aladdin And His Magic Lamp.|The old animated one, not Disney.
ALADDINS-ARABIAN-ADVENTURES-MAGIC-MAKERS: Aladdins Arabian Adventures Magic Makers.|Another knockoff Aladdin.
ALIBABAS-REVENGE: Alibabas Revenge.|Ali Baba getting revenge. Sure, why not.
ALICE-IN-WONDERLAND: Alice In Wonderland.|I got a niece who loves this one.
ALIEN-PRIVATE-EYE: Alien Private Eye.|You sure about that one?
ALIENS-NEXT-DOOR-CARTOON: Aliens Next Door Cartoon.|Kids stuff. Fine.
ALL-STAR-CARTOONS-VIDEO-FEATURING-SUPERMAN: All Star Cartoons Video Featuring Superman.|Superman cartoon collection. Not bad.
ALLAN-QUATERMAIN: Allan Quatermain.|Adventure classic. Richard Chamberlain.
ALLEGRAS-WINDOW-ALLEGRAS-CHRISTMAS: Allegras Window Allegras Christmas.|Little kids only.
ALLIGATOR-ALLEY-PRISM-ENTERTAINMENT: Alligator Alley Prism Entertainment.|Hm. Interesting pick.
ALTERTA-MAXIMA-2: Alterta Maxima 2.|Never heard of the first one either.
